age_bracket,education_level,income_bracket,gender,geographic_region,urban_rural,industry_sector,job_type,ai_familiarity_score,ai_use_frequency,has_used_ai_on_job,sentiment_toward_ai,perceived_benefit,perceived_risk,adoption_intent,expected_job_impact,concerns,use_cases
25-34,Bachelor's,25-50k,female,Northeast,urban,Technology,Skilled Trade,5,rarely,TRUE,0.41293021807756025,5.501447162559691,3.778122203,3,negative,privacy|bias,augmentation|agents
55-64,High School or less,25-50k,female,West,urban,Finance,Individual Contributor,5,never,FALSE,0.853072023,3.4825341937799315,3.8990353562229885,2,negative,regulation,agents
18-24,Some college / Associate,50-100k,female,Northeast,suburban,Technology,Individual Contributor,5,never,FALSE,2.8553874098238365,2.9131210771518425,2.626800304316225,2,negative,accuracy,agents
35-44,Bachelor's,100-200k,male,West,suburban,Services,Individual Contributor,8,never,FALSE,1.933616773296928,5.3561280604753705,2.8340838016493706,6,positive,job_loss|privacy,hiring
55-64,High School or less,25-50k,female,West,suburban,Other,Individual Contributor,5,weekly,FALSE,0.4438767593122369,2.7329288917430183,2.0343724492884308,1,neutral,accuracy,automation
45-54,Bachelor's,25-50k,female,South,suburban,Technology,Skilled Trade,5,never,FALSE,1.2587315852010326,4.638211047035394,4.273051188449089,3,positive,accuracy,automation|augmentation
18-24,Bachelor's,50-100k,male,Northeast,urban,Healthcare,Manager,6,never,FALSE,1.4907630311241644,3.220877846320836,2.496618628627723,4,positive,privacy,automation
18-24,Doctorate/Prof,25-50k,female,Midwest,suburban,Other,Individual Contributor,5,monthly,FALSE,-1.698040981,1.073535388140717,5.119866286326342,4,neutral,bias,automation|hiring
45-54,Some college / Associate,25-50k,female,Midwest,urban,Education,Individual Contributor,0,never,TRUE,-0.493959151,3.706254600732899,4.445579273390867,3,positive,transparency,agents
45-54,Some college / Associate,50-100k,male,West,rural,Services,Individual Contributor,5,never,FALSE,2.0177045607303494,1,5.0199407483754666,3,neutral,regulation,hiring|agents
25-34,Bachelor's,25-50k,female,Midwest,suburban,Technology,Executive,5,rarely,FALSE,-0.512267248,1.9976176600572233,3.919457500716615,4,neutral,job_loss,augmentation
55-64,High School or less,100-200k,female,West,urban,Finance,Executive,9,never,FALSE,0.3621926879536963,3.828202499786275,4.209302130259725,3,negative,job_loss,analytics
55-64,Master's,200k+,male,South,suburban,Manufacturing,Manager,8,weekly,FALSE,2.003849354088892,4.881266709832766,4.628549229751321,3,neutral,bias,analytics
35-44,High School or less,200k+,female,South,rural,Retail,Manager,8,never,FALSE,2.7731242334833714,3.5625330898432694,4.8102289917163805,5,positive,job_loss,automation
25-34,Some college / Associate,25-50k,male,Midwest,urban,Finance,Manager,8,never,TRUE,-0.145469741,4.322115838946644,3.223500188,3,positive,ethics,customer_service
65+,High School or less,50-100k,female,South,suburban,Healthcare,Individual Contributor,8,weekly,TRUE,1.4099620875631995,4.459365631,4.503827009553303,4,positive,bias,content_generation
35-44,Master's,50-100k,male,West,urban,Services,Individual Contributor,7,never,FALSE,2.024535081694874,5.402752927454344,5.009178336866052,5,negative,job_loss|safety,automation|augmentation
18-24,Some college / Associate,50-100k,female,Midwest,urban,Manufacturing,Manager,8,rarely,FALSE,0.7772848040099338,4.432706159339137,4.789622735006087,4,positive,bias,customer_service
65+,High School or less,100-200k,male,Northeast,urban,Healthcare,Individual Contributor,6,monthly,FALSE,1.7875443526476626,2.404601994732248,1.941445383457206,7,neutral,safety,automation|hiring|analytics
18-24,High School or less,200k+,male,South,urban,Retail,Individual Contributor,8,never,TRUE,1.5776238825123903,2.8219439645957047,5.142703236543314,4,neutral,privacy,analytics
45-54,High School or less,25-50k,female,Northeast,urban,Healthcare,Clerical/Support,5,never,FALSE,1.1540617742468244,3.9239774087763157,4.993754474970058,1,neutral,job_loss|bias|accuracy,analytics
