age_bracket,education_level,income_bracket,gender,geographic_region,urban_rural,industry_sector,job_type,ai_familiarity_score,ai_use_frequency,task_performance_metric,confidence_change,behavioral_intent_change,self_reported_productivity_change_pct,concerns,use_cases
45-54,Bachelor's,25-50k,male,West,urban,Finance,Executive,6,rarely,79.72656806,3.307034978,1.291705685,2.972071247,privacy|regulation|job_loss,customer_service
25-34,High School or less,50-100k,female,South,urban,Government,Executive,8,never,55.9874033,1.572374293,1.80285163,7.305099433,privacy|accuracy,content_generation
25-34,Some college / Associate,100-200k,male,West,urban,Finance,Executive,4,never,72.52477091,0.66355336,0.393079899,10.98169171,regulation,augmentation
25-34,Some college / Associate,<25k,female,Northeast,urban,Retail,Manager,4,never,95.63430269,1.563179276,-0.991990398,2.550816482,regulation,automation|analytics
35-44,Some college / Associate,25-50k,female,Northeast,urban,Services,Manager,4,never,57.59515168,0.206797454,0.373526726,11.33017962,privacy|ethics,agents
25-34,High School or less,100-200k,male,South,suburban,Technology,Individual Contributor,4,monthly,84.42055084,0.406184268,0.836629903,0.953356177,transparency,customer_service
55-64,Some college / Associate,25-50k,male,Northeast,suburban,Retail,Clerical/Support,7,daily,64.53110553,2.667674886,1.722207997,1.645636516,job_loss,augmentation
25-34,Some college / Associate,50-100k,male,Midwest,urban,Other,Individual Contributor,6,never,75.41960494,2.92088698,0.877950316,3.679279877,transparency|regulation,content_generation
45-54,Bachelor's,50-100k,male,Midwest,urban,Education,Individual Contributor,2,rarely,67.02080958,2.419656032,3.17350743,6.719956075,bias|regulation,automation
45-54,High School or less,100-200k,male,Northeast,urban,Healthcare,Manager,5,rarely,52.63599242,0.609642762,0.36514931,5.341969339,job_loss,augmentation
25-34,Master's,<25k,female,West,suburban,Manufacturing,Individual Contributor,6,never,89.53942003,3.93165321,3.864678177,-0.060165659,bias,automation|customer_service
35-44,Some college / Associate,25-50k,female,Northeast,urban,Finance,Individual Contributor,2,monthly,35.77543917,0.437033263,-0.546022273,2.247431658,safety,automation
25-34,High School or less,<25k,male,West,suburban,Services,Individual Contributor,9,rarely,84.99189743,-0.2492504,-0.498460264,4.945522695,bias,augmentation|analytics
45-54,Bachelor's,25-50k,male,Northeast,urban,Manufacturing,Clerical/Support,7,never,78.25149289,3.472519781,2.903545749,-5.297631897,privacy,content_generation
35-44,Master's,50-100k,female,West,suburban,Education,Clerical/Support,4,never,62.23660555,-0.59648084,1.189621143,2.338182608,accuracy,analytics|agents
